865;0.9915
870;0.9895
875;0.995
880;0.989
885;0.992
890;0.989
895;0.99
900;0.9885
905;0.9925
910;0.9895
915;0.99
920;0.9905
925;0.987
930;0.993
935;0.9915
940;0.991
945;0.993
950;0.9905
955;0.995
960;0.9895
965;0.994
970;0.991
975;0.991
980;0.993
985;0.9935
990;0.9935
995;0.996
1000;0.993
1005;0.9905
1010;0.9925
1015;0.994
1020;0.994
1025;0.9935
1030;0.996
1035;0.9945
1040;0.996
1045;0.9925
1050;0.9945
1055;0.9945
1060;0.995
1065;0.997
1070;0.9965
1075;0.9925
1080;0.9945
1085;0.997
1090;0.9955
1095;0.998
1100;0.995
1105;0.9945
1110;0.9945
1115;0.996
1120;0.997
1125;0.9985
1130;0.9965
1135;0.9975
1140;0.9925
1145;0.997
1150;0.9975
1155;0.9975
1160;0.997
1165;0.9975
1170;0.995
1175;0.9965
1180;0.995
1185;0.9975
1190;0.9995
1195;0.9965
1200;0.997
1205;0.9965
1210;0.996
1215;0.9945
1220;0.998
1225;0.997
1230;0.9975
1235;0.9965
1240;0.9975
1245;0.999
1250;0.997
1255;0.998
1260;0.9975
1265;0.998
1270;0.997
1275;0.9995
1280;0.998
1285;0.9995
1290;1
1295;0.999
1300;0.9985
1305;0.998
1310;0.9985
1315;0.9995
1320;0.9975
1325;0.9985
1330;0.998
1335;0.998
1340;0.9995
1345;0.997
1350;0.999
1355;0.9995
1360;0.9995
1365;0.9995
1370;0.9975
1375;0.997
1380;0.9985
1385;0.9985
1390;0.998
1395;0.998
1400;0.9985
1405;0.9985
1410;0.999
1415;0.9995
1420;0.999
1425;0.9995
1430;0.9995
1435;0.999
1440;0.9995
1445;0.9995
1450;0.999
1455;0.999
1460;0.9985
1465;1
1470;0.9995
1475;0.9995
1480;0.998
1485;0.999
1490;0.9985
1495;0.9995
1500;0.9995
1505;1
1510;0.9985
1515;0.999
1520;0.999
1525;0.9995
1530;1
1535;0.9995
1540;0.999
1545;0.999
1550;0.999
1555;0.9995
1560;0.9995
1565;0.9995
1570;0.9995
1575;0.9995
1580;0.9995
1585;0.9995
1590;0.9995
1595;1
1600;0.9995
1605;0.9995
1610;0.9995
1615;0.9995
1620;0.999
1625;1
1630;0.9995
1635;0.9995
1640;1
1645;0.999
1650;0.999
1655;1
1660;1
1665;0.998
1670;1
1675;0.9995
1680;1
1685;0.9995
1690;1
1695;1
1700;0.9985
1705;1
1710;1
1715;0.9995
1720;1
1725;0.9995
1730;1
1735;1
1740;1
1745;1
1750;1
1755;1
1760;1
1765;1
1770;1
1775;0.9995
1780;0.9995
1785;1
1790;0.9995
1795;1
1800;1
1805;1
1810;0.999
1815;1
1820;1
1825;1
1830;0.9995
1835;0.9995
1840;1
1845;1
1850;1
1855;0.999
1860;0.9995
1865;0.9995
1870;1
1875;1
1880;0.999
1885;0.9995
1890;1
1895;1
1900;1
1905;1
1910;0.9995
1915;1
1920;1
1925;1
1930;1
1935;0.9995
1940;1
1945;1
1950;1
1955;1
1960;1
1965;1
1970;0.9995
1975;1
1980;1
1985;1
1990;1
1995;1
2000;0.9995
5;0,5075
10;0,521
15;0,5315
20;0,5455
25;0,55
30;0,558
35;0,57
40;0,5775
45;0,5825
50;0,602
55;0,6
60;0,617
65;0,613
70;0,6425
75;0,634
80;0,636
85;0,65
90;0,6625
95;0,6725
100;0,6845
105;0,692
110;0,678
115;0,6875
120;0,6945
125;0,702
130;0,711
135;0,7175
140;0,7155
145;0,7515
150;0,733
155;0,75
160;0,7395
165;0,751
170;0,757
175;0,7775
180;0,765
185;0,784
190;0,779
195;0,7825
200;0,781
205;0,802
210;0,7975
215;0,8095
220;0,8
225;0,815
230;0,8195
235;0,8075
240;0,814
245;0,835
250;0,829
255;0,834
260;0,848
265;0,8395
270;0,845
275;0,8375
280;0,8455
285;0,85
290;0,8585
295;0,852
300;0,86
305;0,8715
310;0,8655
315;0,872
320;0,877
325;0,883
330;0,876
335;0,8925
340;0,876
345;0,885
350;0,8895
355;0,9
360;0,8935
365;0,8985
370;0,898
375;0,8865
380;0,901
385;0,9045
390;0,9025
395;0,9095
400;0,9115
405;0,917
410;0,914
415;0,9135
420;0,9195
425;0,935
430;0,928
435;0,925
440;0,9225
445;0,923
450;0,92
455;0,9325
460;0,924
465;0,9395
470;0,9435
475;0,939
480;0,932
485;0,9365
490;0,9355
495;0,936
500;0,942
505;0,9505
